"Tissue","OG","n_pairs","Pairs","gene_name","name_source"
"Kidney","OG_0005523",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","KBTBD2","taeGut_geneID"
"Kidney","OG_0005541",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","RIC8A","taeGut_geneID"
"Kidney","OG_0005542",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","DAG1","taeGut_geneID"
"Kidney","OG_0005559",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","ANKFY1","taeGut_geneID"
"Kidney","OG_0005600",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","SUN2","taeGut_geneID"
"Kidney","OG_0005659",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","STK11IP","taeGut_geneID"
"Kidney","OG_0005789",2,"dysSti_vs_sakCri;thaAmb_vs_thaPel","HSPA4","taeGut_geneID"
"Kidney","OG_0005809",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","ZNF518A","taeGut_geneID"
"Kidney","OG_0005826",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","PPP1R26","taeGut_geneID"
"Kidney","OG_0005835",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","PREX2","parsed_from_gene_id"
"Kidney","OG_0005838",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","FCHSD1","taeGut_geneID"
"Kidney","OG_0005848",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","SELENOO","taeGut_geneID"
"Kidney","OG_0005863",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","NFS1","taeGut_geneID"
"Kidney","OG_0005890",2,"dysSti_vs_sakCri;thaAmb_vs_thaPel","GATA5","taeGut_geneID"
"Kidney","OG_0005902",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","RPGR","parsed_from_gene_id"
"Kidney","OG_0005965",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","RPAP1","taeGut_geneID"
"Kidney","OG_0005985",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","CXorf23","galGal_geneID"
"Kidney","OG_0005987",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","ZDBF2","taeGut_geneID"
"Kidney","OG_0006088",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","GCNT4","taeGut_geneID"
"Kidney","OG_0006107",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","THSD7A","parsed_from_gene_id"
"Kidney","OG_0006162",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","ZDHHC3","taeGut_geneID"
"Kidney","OG_0006177",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","RHCE","taeGut_geneID"
"Kidney","OG_0006181",2,"dysSti_vs_sakCri;thaAmb_vs_thaPel","RHAG","taeGut_geneID"
"Kidney","OG_0006200",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","DCAF5","taeGut_geneID"
"Kidney","OG_0006201",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","SETBP1","parsed_from_gene_id"
"Kidney","OG_0006244",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","LOC100223273","taeGut_geneID"
"Kidney","OG_0006253",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","GTF3C3","taeGut_geneID"
"Kidney","OG_0006254",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","HDLBP","taeGut_geneID"
"Kidney","OG_0006257",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","SYNM","taeGut_geneID"
"Kidney","OG_0006279",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","USPL1","taeGut_geneID"
"Kidney","OG_0006280",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","ADGRD2","taeGut_geneID"
"Kidney","OG_0006366",2,"dysSti_vs_sakCri;thaAmb_vs_thaPel","USH1C","galGal_geneID"
"Kidney","OG_0006383",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","LAMA4","taeGut_geneID"
"Kidney","OG_0006390",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","CHP1","taeGut_geneID"
"Kidney","OG_0006420",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","SART3","taeGut_geneID"
"Kidney","OG_0006509",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","MFSD1","parsed_from_gene_id"
"Kidney","OG_0006561",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","COL12A1","parsed_from_gene_id"
"Kidney","OG_0006682",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","GJB1","taeGut_geneID"
"Kidney","OG_0006683",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","LOC100219548","taeGut_geneID"
"Kidney","OG_0006710",2,"thaAmb_vs_thaPel;thaRuf_vs_thaTor","NRIP1","taeGut_geneID"
"Kidney","OG_0006716",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","MED1","taeGut_geneID"
"Kidney","OG_0006719",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","MXD1","taeGut_geneID"
"Kidney","OG_0006743",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","YWHAB","taeGut_geneID"
"Kidney","OG_0006744",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","YWHAE","taeGut_geneID"
