OG	sakCan01_Brain	sakCan01_Heart	sakCan01_Kidney	sakCan01_Liver	sakCan01_Muscle	sakCan02_Brain	sakCan02_Kidney	sakCan02_Liver	sakCan02_Muscle	sakCan03_Brain	sakCan03_Heart	sakCan03_Kidney	sakCan03_Liver	sakCan03_Muscle	sakCan04_Heart
OG_0028930	0.0	329.086	113.137	0.0	0.0	491.886	0.0	180.572	0.0	0.0	0.0	0.0	349.295	0.0	357.078
OG_0028934	0.0	0.0	0.0	0.0	21.371	148.7	0.0	0.0	30.351	104.282	0.0	0.0	0.0	0.0	0.0
OG_0028938	245.539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	371.568	0.0	0.0	0.0	112.584	132.181
OG_0028943	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028944	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028953	113.148	0.0	68.944	0.0	0.0	0.0	15.02	208.382	0.0	150.856	0.0	80.641	0.0	0.0	12.738
OG_0028965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028971	0.0	0.0	567.272	0.0	0.0	0.0	105.501	0.0	0.0	0.0	46.78	267.487	0.0	0.0	0.0
OG_0028972	29.0	0.0	108.161	0.0	0.0	0.0	307.8	120.362	0.0	0.0	12.837	135.802	70.713	0.0	0.0
OG_0028973	12.0	2.0	1.0	6.0	0.0	0.0	1.0	1.0	3.0	3.0	1.0	2.0	0.0	5.0	1.0
OG_0028974	0.0	0.0	0.0	0.0	4.132	2.437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.22
OG_0028975	9.009	264.283	112.45	26.301	442.886	0.0	123.303	87.825	277.672	0.0	165.484	9.532	8.719	118.295	161.403
