OG	thaBer01_Brain	thaBer01_Heart	thaBer01_Liver	thaBer01_Muscle	thaBer02_Brain	thaBer02_Heart	thaBer02_Liver	thaBer02_Muscle	thaBer03_Brain	thaBer03_Heart	thaBer03_Liver	thaBer03_Muscle
OG_0025553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025556	0.0	1.0	0.0	0.0	3.0	6.0	2.0	1.0	5.0	2.0	1.0	3.0
OG_0025557	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025560	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025564	690.0229999999999	197.395	871.58	52.564	44.113	17.988	303.458	0.0	346.659	293.733	375.416	119.348
OG_0025565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025567	0.0	0.0	0.0	19.0	0.0	0.0	18.473	1.0	2.0	0.0	1.0	4.0
OG_0025568	0.0	0.0	0.0	19.998	0.0	0.0	4.396	0.0	0.0	43.893	70.841	0.0
OG_0025571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025573	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
OG_0025574	1.0	17.0	0.0	20.0	1.0	0.0	0.0	23.0	0.0	80.0	0.0	26.0
OG_0025576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025577	0.0	3.654	0.0	0.0	7.577	0.0	0.0	10.79	0.0	0.0	0.0	0.0
OG_0025578	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025579	2.0	0.0	0.0	4.0	0.0	1.0	5.0	0.0	0.0	9.0	4.0	0.0
OG_0025580	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0
OG_0025581	2.0	0.0	5.538	0.0	1.0	0.0	0.0	0.0	3.0	8.995	54.244	0.0
OG_0025585	819.0	453.0	597.0	812.0	1343.0	1010.0	808.0	427.0	1383.0	667.0	1458.0	331.0
OG_0025587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025589	16.0	0.0	0.0	0.0	79.0	1.0	0.0	0.0	29.0	1.0	0.0	2.0
OG_0025591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025593	511.814	30.113	5114.779	311.086	559.687	691.27	9367.619	130.077	191.738	241.637	17247.775	213.17
OG_0025594	8.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
OG_0025595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
OG_0025596	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
OG_0025597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0
OG_0025599	6.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0
OG_0025600	25.767	22.763	0.0	20.676	24.619	7.374	0.0	8.034	15.01	50.627	4.344	12.78
OG_0025601	0.0	1.0	5.0	9.0	5.0	7.0	7.0	0.0	2.0	7.0	4.0	12.0
OG_0025602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
OG_0025603	12.79	37.271	0.0	11.54	3.012	189.414	5.736	15.744	12.377	86.822	8.585	5.069
OG_0025604	189.0	519.0	631.0	529.0	214.0	192.559	687.0	587.0	161.0	1704.0	1199.0	561.0
OG_0025605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025607	42.0	54.0	118.0	34.0	25.0	40.0	173.0	33.0	52.0	125.0	28.0	37.0
OG_0025608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025609	83.0	16.0	4.0	0.0	107.0	8.0	8.0	0.0	155.0	21.0	9.0	2.0
OG_0025612	94.239	362.202	147.734	384.997	191.93	305.487	181.253	259.926	191.436	825.146	339.077	170.164
OG_0025613	235.057	237.154	163.611	366.395	372.918	417.522	252.711	208.462	414.056	676.455	491.792	280.935
OG_0025617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025618	3263.958	1445.207	584.708	1549.545	5589.17	535.791	793.976	1304.903	6007.101	4405.05	713.211	1093.891
OG_0025619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.606	0.0	0.0	0.0
OG_0025620	6.91	3.914	0.0	8.682	0.0	33.352	3.74	0.0	0.0	53.834	0.0	84.436
OG_0025622	100.129	200.23	0.0	0.0	185.27	163.479	207.239	0.0	0.0	70.341	0.0	155.502
OG_0025623	1491.0	29.0	28.0	20.0	2630.0	10.0	18.0	7.0	2584.0	69.0	9.0	18.0
OG_0025624	0.0	0.0	0.0	0.0	7.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
