"Tissue","OG","n_pairs","Pairs","gene_name","name_source"
"Brain","OG_0005574",5,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","Atp10a","parsed_from_gene_id"
"Brain","OG_0005600",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","SUN2","taeGut_geneID"
"Brain","OG_0005610",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","stringtie_mRNA_232","parsed_from_gene_id"
"Brain","OG_0005693",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","SMYD2","taeGut_geneID"
"Brain","OG_0005745",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","VIT","taeGut_geneID"
"Brain","OG_0005775",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","SKIC8","taeGut_geneID"
"Brain","OG_0005790",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","HSPH1","taeGut_geneID"
"Brain","OG_0005860",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","NME2","taeGut_geneID"
"Brain","OG_0005863",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","NFS1","taeGut_geneID"
"Brain","OG_0005963",3,"dysSti_vs_sakCri;thaBer_vs_thaAtr;thaRuf_vs_thaTor","FCSK","taeGut_geneID"
"Brain","OG_0006117",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","BTD","taeGut_geneID"
"Brain","OG_0006123",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","SYT1","taeGut_geneID"
"Brain","OG_0006140",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","UAP1","taeGut_geneID"
"Brain","OG_0006177",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","RHCE","taeGut_geneID"
"Brain","OG_0006181",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","RHAG","taeGut_geneID"
"Brain","OG_0006201",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","SETBP1","parsed_from_gene_id"
"Brain","OG_0006218",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","ZFAT","taeGut_geneID"
"Brain","OG_0006277",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","ZNF281","taeGut_geneID"
"Brain","OG_0006339",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","stringtie_mRNA_6478","parsed_from_gene_id"
"Brain","OG_0006475",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","HTR1B","taeGut_geneID"
"Brain","OG_0006593",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","FSTL4","taeGut_geneID"
"Brain","OG_0006600",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CRHR1","taeGut_geneID"
"Brain","OG_0006604",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","CRHR2","taeGut_geneID"
"Brain","OG_0006744",5,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","YWHAE","taeGut_geneID"
"Brain","OG_0006745",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","YWHAE","taeGut_geneID"
"Brain","OG_0006748",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","YWHAH","taeGut_geneID"
"Brain","OG_0006765",3,"dysSti_vs_sakCri;thaBer_vs_thaAtr;thaRuf_vs_thaTor","PLA2G7","taeGut_geneID"
"Brain","OG_0006774",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","KANK4","taeGut_geneID"
"Brain","OG_0006782",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","NPEPPS","taeGut_geneID"
"Brain","OG_0006812",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","TP53BP2","galGal_geneID"
"Brain","OG_0006820",4,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","LOC100225774","taeGut_geneID"
"Brain","OG_0006855",3,"dysSti_vs_sakCri;thaBer_vs_thaAtr;thaRuf_vs_thaTor","ADRB2","taeGut_geneID"
"Brain","OG_0006917",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","HERPUD1","taeGut_geneID"
"Brain","OG_0006925",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","UQCRC2","taeGut_geneID"
"Brain","OG_0006926",4,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","PMPCA","taeGut_geneID"
"Brain","OG_0006943",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","RARS1","taeGut_geneID"
"Brain","OG_0006983",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MFGE8","taeGut_geneID"
"Brain","OG_0007002",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","CCDC18","taeGut_geneID"
"Brain","OG_0007039",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","ZFYVE1","taeGut_geneID"
"Brain","OG_0007100",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","BAP1","taeGut_geneID"
"Brain","OG_0007102",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","LZTR1","taeGut_geneID"
"Brain","OG_0007120",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","RCAN2","taeGut_geneID"
"Brain","OG_0007128",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","EIF4G2","taeGut_geneID"
"Brain","OG_0007133",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MDH2","taeGut_geneID"
